Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,0.1
Sample Interval,0.0008
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH2
-8.000e-01,0.3
-7.992e-01,-2.1
-7.984e-01,-3.8
-7.976e-01,-4.3
-7.968e-01,-4.5
-7.960e-01,-4.5
-7.952e-01,-4.5
-7.944e-01,-3.7
-7.936e-01,-1.7
-7.928e-01,0.5
-7.920e-01,2.6
-7.912e-01,4.4
-7.904e-01,6.2
-7.896e-01,7.7
-7.888e-01,8.8
-7.880e-01,9.5
-7.872e-01,9.6
-7.864e-01,9.6
-7.856e-01,7.8
-7.848e-01,5.4
-7.840e-01,2.6
-7.832e-01,-0.2
-7.824e-01,-2.6
-7.816e-01,-4
-7.808e-01,-4.4
-7.800e-01,-4.5
-7.792e-01,-4.6
-7.784e-01,-4.5
-7.776e-01,-3.4
-7.768e-01,-1.4
-7.760e-01,0.8
-7.752e-01,3
-7.744e-01,4.8
-7.736e-01,6.6
-7.728e-01,7.9
-7.720e-01,9
-7.712e-01,9.5
-7.704e-01,9.7
-7.696e-01,9.5
-7.688e-01,7.6
-7.680e-01,5.1
-7.672e-01,2.2
-7.664e-01,-0.5
-7.656e-01,-2.8
-7.648e-01,-3.9
-7.640e-01,-4.3
-7.632e-01,-4.6
-7.624e-01,-4.6
-7.616e-01,-4.4
-7.608e-01,-3.2
-7.600e-01,-1.1
-7.592e-01,1
-7.584e-01,3.2
-7.576e-01,5.1
-7.568e-01,6.7
-7.560e-01,8.1
-7.552e-01,9
-7.544e-01,9.6
-7.536e-01,9.8
-7.528e-01,9.2
-7.520e-01,7.3
-7.512e-01,4.8
-7.504e-01,1.8
-7.496e-01,-1
-7.488e-01,-3.2
-7.480e-01,-4.1
-7.472e-01,-4.4
-7.464e-01,-4.5
-7.456e-01,-4.6
-7.448e-01,-4.2
-7.440e-01,-2.7
-7.432e-01,-0.7
-7.424e-01,1.5
-7.416e-01,3.6
-7.408e-01,5.3
-7.400e-01,7
-7.392e-01,8.4
-7.384e-01,9.2
-7.376e-01,9.6
-7.368e-01,9.7
-7.360e-01,8.8
-7.352e-01,6.7
-7.344e-01,4.1
-7.336e-01,1.2
-7.328e-01,-1.4
-7.320e-01,-3.4
-7.312e-01,-4.3
-7.304e-01,-4.5
-7.296e-01,-4.6
-7.288e-01,-4.6
-7.280e-01,-4
-7.272e-01,-2.4
-7.264e-01,-0.3
-7.256e-01,1.9
-7.248e-01,3.9
-7.240e-01,5.7
-7.232e-01,7.3
-7.224e-01,8.5
-7.216e-01,9.3
-7.208e-01,9.6
-7.200e-01,9.7
-7.192e-01,8.6
-7.184e-01,6.4
-7.176e-01,3.7
-7.168e-01,0.9
-7.160e-01,-1.7
-7.152e-01,-3.6
-7.144e-01,-4.3
-7.136e-01,-4.4
-7.128e-01,-4.6
-7.120e-01,-4.6
-7.112e-01,-3.9
-7.104e-01,-2.2
-7.096e-01,0
-7.088e-01,2.2
-7.080e-01,4.2
-7.072e-01,6
-7.064e-01,7.5
-7.056e-01,8.7
-7.048e-01,9.3
-7.040e-01,9.7
-7.032e-01,9.7
-7.024e-01,8.3
-7.016e-01,6.1
-7.008e-01,3.2
-7.000e-01,0.4
-6.992e-01,-2.1
-6.984e-01,-3.8
-6.976e-01,-4.3
-6.968e-01,-4.5
-6.960e-01,-4.6
-6.952e-01,-4.5
-6.944e-01,-3.5
-6.936e-01,-1.7
-6.928e-01,0.5
-6.920e-01,2.6
-6.912e-01,4.5
-6.904e-01,6.2
-6.896e-01,7.7
-6.888e-01,8.8
-6.880e-01,9.4
-6.872e-01,9.7
-6.864e-01,9.6
-6.856e-01,7.9
-6.848e-01,5.5
-6.840e-01,2.6
-6.832e-01,-0.2
-6.824e-01,-2.6
-6.816e-01,-4
-6.808e-01,-4.4
-6.800e-01,-4.6
-6.792e-01,-4.6
-6.784e-01,-4.5
-6.776e-01,-3.3
-6.768e-01,-1.4
-6.760e-01,0.8
-6.752e-01,3
-6.744e-01,4.8
-6.736e-01,6.6
-6.728e-01,7.9
-6.720e-01,9
-6.712e-01,9.5
-6.704e-01,9.7
-6.696e-01,9.3
-6.688e-01,7.6
-6.680e-01,5.1
-6.672e-01,2.2
-6.664e-01,-0.5
-6.656e-01,-2.7
-6.648e-01,-4
-6.640e-01,-4.4
-6.632e-01,-4.5
-6.624e-01,-4.6
-6.616e-01,-4.4
-6.608e-01,-3.1
-6.600e-01,-1.1
-6.592e-01,1.1
-6.584e-01,3.2
-6.576e-01,5.1
-6.568e-01,6.8
-6.560e-01,8.1
-6.552e-01,9.1
-6.544e-01,9.5
-6.536e-01,9.7
-6.528e-01,9.2
-6.520e-01,7.3
-6.512e-01,4.7
-6.504e-01,1.7
-6.496e-01,-1
-6.488e-01,-3.2
-6.480e-01,-4.1
-6.472e-01,-4.4
-6.464e-01,-4.5
-6.456e-01,-4.6
