Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-06
Sample Interval,3.2e-08
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,10
Label,
TIME,CH1
-3.200e-05,-0.109375
-3.197e-05,-0.130859
-3.194e-05,-0.0410151
-3.190e-05,0.00390673
-3.187e-05,-0.0175776
-3.184e-05,-0.039062
-3.181e-05,-0.0624995
-3.178e-05,0.00585985
-3.174e-05,-0.039062
-3.171e-05,-0.0488276
-3.168e-05,0.00390673
-3.165e-05,0.0292974
-3.162e-05,-0.0136714
-3.158e-05,-0.0742183
-3.155e-05,4.76837e-07
-3.152e-05,-0.039062
-3.149e-05,0.00585985
-3.146e-05,-0.0585933
-3.142e-05,-0.0644526
-3.139e-05,-0.0332026
-3.136e-05,0.039063
-3.133e-05,0.023438
-3.130e-05,0.0566411
-3.126e-05,-0.023437
-3.123e-05,0.0644536
-3.120e-05,0.0195317
-3.117e-05,0.00781298
-3.114e-05,0.103516
-3.110e-05,0.0937505
-3.107e-05,-0.00195265
-3.104e-05,0.070313
-3.101e-05,0.0507817
-3.098e-05,0.0488286
-3.094e-05,-0.0058589
-3.091e-05,0.0644536
-3.088e-05,0.023438
-3.085e-05,0.0136724
-3.082e-05,0.0585942
-3.078e-05,0.0957036
-3.075e-05,0.0175786
-3.072e-05,0.0136724
-3.069e-05,-0.0371089
-3.066e-05,-0.0312495
-3.062e-05,0.00585985
-3.059e-05,0.0253911
-3.056e-05,0.0156255
-3.053e-05,0.0644536
-3.050e-05,0.0195317
-3.046e-05,4.76837e-07
-3.043e-05,0.0156255
-3.040e-05,0.0468755
-3.037e-05,-0.023437
-3.034e-05,-0.00195265
-3.030e-05,-0.0371089
-3.027e-05,-0.00195265
-3.024e-05,0.125
-3.021e-05,0.0644536
-3.018e-05,-0.00781202
-3.014e-05,0.0839849
-3.011e-05,0.070313
-3.008e-05,0.113282
-3.005e-05,0.0644536
-3.002e-05,0.0937505
-2.998e-05,0.0488286
-2.995e-05,4.76837e-07
-2.992e-05,0.0878911
-2.989e-05,0.0976567
-2.986e-05,0.111329
-2.982e-05,0.0742192
-2.979e-05,0.148438
-2.976e-05,0.0937505
-2.973e-05,0.0800786
-2.970e-05,0.134766
-2.966e-05,0.0683599
-2.963e-05,0.160157
-2.960e-05,0.152344
-2.957e-05,0.175782
-2.954e-05,0.0898442
-2.950e-05,0.0566411
-2.947e-05,-0.00976515
-2.944e-05,0.0566411
-2.941e-05,0.0839849
-2.938e-05,0.166016
-2.934e-05,0.0683599
-2.931e-05,0.00390673
-2.928e-05,0.085938
-2.925e-05,0.0683599
-2.922e-05,0.101563
-2.918e-05,0.138672
-2.915e-05,0.0722661
-2.912e-05,0.177735
-2.909e-05,0.158204
-2.906e-05,0.0371099
-2.902e-05,0.0507817
-2.899e-05,0.142579
-2.896e-05,0.1875
-2.893e-05,0.25586
-2.890e-05,0.0761724
-2.886e-05,0.177735
-2.883e-05,0.220704
-2.880e-05,0.0839849
-2.877e-05,0.109375
-2.874e-05,0.128907
-2.870e-05,0.070313
-2.867e-05,0.154297
-2.864e-05,0.113282
-2.861e-05,0.146485
-2.858e-05,0.144532
-2.854e-05,0.173829
-2.851e-05,0.306641
-2.848e-05,0.1875
-2.845e-05,0.054688
-2.842e-05,0.208985
-2.838e-05,0.107422
-2.835e-05,0.197266
-2.832e-05,0.242188
-2.829e-05,0.199219
-2.826e-05,0.185547
-2.822e-05,0.19336
-2.819e-05,0.160157
-2.816e-05,0.140625
-2.813e-05,0.16211
-2.810e-05,0.263672
-2.806e-05,0.0683599
-2.803e-05,0.230469
-2.800e-05,0.257813
-2.797e-05,0.207032
-2.794e-05,0.15625
-2.790e-05,0.195313
-2.787e-05,0.183594
-2.784e-05,0.169922
-2.781e-05,0.185547
-2.778e-05,0.1875
-2.774e-05,0.242188
-2.771e-05,0.232422
-2.768e-05,0.160157
-2.765e-05,0.0957036
-2.762e-05,0.00585985
-2.758e-05,0.0937505
-2.755e-05,0.242188
-2.752e-05,0.365235
-2.749e-05,0.214844
-2.746e-05,0.257813
-2.742e-05,0.195313
-2.739e-05,0.128907
-2.736e-05,0.152344
-2.733e-05,0.361329
-2.730e-05,0.777344
-2.726e-05,1.3418
-2.723e-05,2.14063
-2.720e-05,3.23633
-2.717e-05,4.51758
-2.714e-05,5.64258
-2.710e-05,6.39648
-2.707e-05,7.00781
-2.704e-05,7.54297
-2.701e-05,8.19727
-2.698e-05,8.75781
-2.694e-05,9.60938
-2.691e-05,10.8203
-2.688e-05,12.0664
-2.685e-05,13.0703
-2.682e-05,13.918
-2.678e-05,14.4609
-2.675e-05,14.5117
-2.672e-05,14.3164
-2.669e-05,13.8262
-2.666e-05,13.4531
-2.662e-05,13.3945
-2.659e-05,13.4727
-2.656e-05,13.8691
-2.653e-05,14.2266
-2.650e-05,14.5645
-2.646e-05,14.6797
-2.643e-05,14.5762
